WKT,id,province_id,name,alt_name,latitude,longitude
"POINT (105.75 -6.63333)",3601,36.0,KABUPATEN PANDEGLANG,KABUPATEN PANDEGLANG,-6.63333,105.75
"POINT (106.21667 -6.65)",3602,36.0,KABUPATEN LEBAK,KABUPATEN LEBAK,-6.65,106.21667
"POINT (106.46667 -6.2)",3603,36.0,KABUPATEN TANGERANG,KABUPATEN TANGERANG,-6.2,106.46667
"POINT (106.0 -6.15)",3604,36.0,KABUPATEN SERANG,KABUPATEN SERANG,-6.15,106
"POINT (106.62991 -6.17944)",3671,36.0,KOTA TANGERANG,KOTA TANGERANG,-6.17944,106.62991
"POINT (106.01667 -6.01667)",3672,36.0,KOTA CILEGON,KOTA CILEGON,-6.01667,106.01667
"POINT (106.14999 -6.12563)",3673,36.0,KOTA SERANG,KOTA SERANG,-6.12563,106.14999
"POINT (106.71244 -6.29373)",3674,36.0,KOTA TANGERANG SELATAN,KOTA TANGERANG SELATAN,-6.29373,106.71244
